time,temperature_2m,precipitation_probability,country_name,capital,country_population,ip_query,ip_city,ip_isp
2026-08-09 07:00:00,24.9,9,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 08:00:00,25.5,9,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 09:00:00,26.5,8,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 10:00:00,27.3,6,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 11:00:00,27.9,3,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 12:00:00,28.7,2,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 13:00:00,29.9,6,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 14:00:00,31.0,13,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 15:00:00,31.4,18,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 16:00:00,31.7,21,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 17:00:00,30.5,21,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 18:00:00,29.1,20,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 19:00:00,27.4,14,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 20:00:00,26.1,6,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 21:00:00,25.0,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 22:00:00,24.2,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
2026-08-09 23:00:00,23.6,0,Korea (Republic of),Seoul,51780579,8.8.8.8,Ashburn,Google LLC
