metric,day_mean,night_mean,diff_pct,t_stat,p_value,cohens_d,effect_size
speed_mph,8.02012981073025,15.532162657843656,-48.36437148254993,-624.4187042312542,0.0,-1.5253373580185767,큼
fare_per_mile,17.072708640028615,12.806726036748167,33.31048537338471,89.59380142068754,0.0,0.16084547006612968,무시가능
trip_distance,2.3861952832313293,3.563198031035548,-33.03220134139316,-195.841860888089,0.0,-0.38930058679324975,작음
total_amount,26.20993921523813,26.923572818985626,-2.650590278435353,-25.144788283979533,1.927894803675544e-139,-0.04202092321021067,무시가능
