,trip_distance,trip_duration_minutes,passenger_count,total_amount
trip_distance,1.0,0.7320807887026265,0.021606721288491143,0.9260246772643224
trip_duration_minutes,0.7320807887026265,1.0,0.026438229843262884,0.8625454543624985
passenger_count,0.021606721288491143,0.026438229843262884,1.0,0.025196200829851377
total_amount,0.9260246772643224,0.8625454543624985,0.025196200829851377,1.0
