,count,mean,std,min,25%,50%,75%,max
trip_distance,9068557.0,2.541936671953433,2.974143296438872,0.01,0.94,1.54,2.7,97.78
total_amount,9068557.0,26.1583682927725,16.01768640367453,0.5,16.55,21.42,29.25,489.83
trip_duration_minutes,9068557.0,15.131144876007653,10.771786697677657,0.016666666666666666,7.7,12.433333333333334,19.5,299.6333333333333
