metric,rush_mean,non_rush_mean,diff,t_stat,p_value,significant_at_0.05
total_amount,25.750410010367847,26.366272774655506,-0.6158627642876588,-56.4567296185679,0.0,True
trip_distance,2.3323007618118066,2.648771726325094,-0.31647096451328727,-158.1337038868707,0.0,True
